Year,City,Date,High Temp,Precipitation
2010,Chicago,1/1/2010,-8.3,0
2010,Chicago,1/2/2010,-11.4,0
2010,Chicago,1/3/2010,-7.9,0
2010,Chicago,1/4/2010,-7.4,0
2010,Chicago,1/5/2010,-5.1,0
2010,Chicago,1/6/2010,-5.6,0.068
2010,Chicago,1/7/2010,-6.4,5.195
2010,Chicago,1/8/2010,-3.3,2.377
2010,Chicago,1/9/2010,-5.3,0
2010,Chicago,1/10/2010,-8,0
2010,Chicago,1/11/2010,-3,0
2010,Chicago,1/12/2010,-0.7,0
2010,Chicago,1/13/2010,1.3,0
2010,Chicago,1/14/2010,4.2,0
2010,Chicago,1/15/2010,1,0
2010,Chicago,1/16/2010,-2.5,0
2010,Chicago,1/17/2010,0.7,0
2010,Chicago,1/18/2010,-0.8,0
2010,Chicago,1/19/2010,2.4,0
2010,Chicago,1/20/2010,0.5,0.591
2010,Chicago,1/21/2010,1.5,1.981
2010,Chicago,1/22/2010,1.8,0
2010,Chicago,1/23/2010,7,0
2010,Chicago,1/24/2010,8.1,9.107
2010,Chicago,1/25/2010,-0.2,0
2010,Chicago,1/26/2010,-4.9,0
2010,Chicago,1/27/2010,-4.5,0
2010,Chicago,1/28/2010,-7.5,0
2010,Chicago,1/29/2010,-6.9,0
2010,Chicago,1/30/2010,-4.9,0
2010,Chicago,1/31/2010,-1.9,0
2010,Chicago,2/1/2010,-1,0
2010,Chicago,2/2/2010,0,1.451
2010,Chicago,2/3/2010,-0.9,0
2010,Chicago,2/4/2010,0.8,0
2010,Chicago,2/5/2010,1.8,0.518
2010,Chicago,2/6/2010,-1,0
2010,Chicago,2/7/2010,-1.4,0
2010,Chicago,2/8/2010,-1.8,0
2010,Chicago,2/9/2010,-2.1,8.186
2010,Chicago,2/10/2010,-3,0.836
2010,Chicago,2/11/2010,-1.4,0
2010,Chicago,2/12/2010,-0.3,0
2010,Chicago,2/13/2010,-1.4,0
2010,Chicago,2/14/2010,-1.2,0
2010,Chicago,2/15/2010,-2.2,0
2010,Chicago,2/16/2010,-0.2,0
2010,Chicago,2/17/2010,0.5,0
2010,Chicago,2/18/2010,4.1,0
2010,Chicago,2/19/2010,6,0
2010,Chicago,2/20/2010,3.7,0.068
2010,Chicago,2/21/2010,2.6,6.494
2010,Chicago,2/22/2010,0.8,4.507
2010,Chicago,2/23/2010,0.3,0
2010,Chicago,2/24/2010,-2.3,2.5
2010,Chicago,2/25/2010,-1.4,0.196
2010,Chicago,2/26/2010,0.3,0
2010,Chicago,2/27/2010,1.1,0
2010,Chicago,2/28/2010,3,0
2010,Chicago,3/1/2010,1.9,0
2010,Chicago,3/2/2010,0.7,0
2010,Chicago,3/3/2010,4.1,0
2010,Chicago,3/4/2010,5.8,0
2010,Chicago,3/5/2010,3,0
2010,Chicago,3/6/2010,7.7,0
2010,Chicago,3/7/2010,7.7,2.067
2010,Chicago,3/8/2010,7.5,0
2010,Chicago,3/9/2010,10.1,0.068
2010,Chicago,3/10/2010,16.7,2.085
2010,Chicago,3/11/2010,15.8,5.867
2010,Chicago,3/12/2010,11.9,0.677
2010,Chicago,3/13/2010,8.4,13.72
2010,Chicago,3/14/2010,9,0
2010,Chicago,3/15/2010,8.8,0
2010,Chicago,3/16/2010,15.4,0
2010,Chicago,3/17/2010,16.1,0
2010,Chicago,3/18/2010,16.3,0
2010,Chicago,3/19/2010,18.1,0
2010,Chicago,3/20/2010,4.1,5.626
2010,Chicago,3/21/2010,5.6,1.121
2010,Chicago,3/22/2010,9.1,0
2010,Chicago,3/23/2010,13.5,0
2010,Chicago,3/24/2010,11.6,0
2010,Chicago,3/25/2010,7.8,0.182
2010,Chicago,3/26/2010,4,0
2010,Chicago,3/27/2010,10.1,0.327
2010,Chicago,3/28/2010,10.4,0.068
2010,Chicago,3/29/2010,6.8,0
2010,Chicago,3/30/2010,17.1,0
2010,Chicago,3/31/2010,25,0
2010,Chicago,4/1/2010,27.8,0
2010,Chicago,4/2/2010,26.8,0
2010,Chicago,4/3/2010,16.8,5.241
2010,Chicago,4/4/2010,23.5,16.209
2010,Chicago,4/5/2010,21.3,13.808
2010,Chicago,4/6/2010,24.7,3.212
2010,Chicago,4/7/2010,16.6,10.961
2010,Chicago,4/8/2010,4.6,0.104
2010,Chicago,4/9/2010,12.9,0
2010,Chicago,4/10/2010,23.1,0
2010,Chicago,4/11/2010,16.3,0
2010,Chicago,4/12/2010,20.7,0.068
2010,Chicago,4/13/2010,17.4,0
2010,Chicago,4/14/2010,26.9,0
2010,Chicago,4/15/2010,27.9,0
2010,Chicago,4/16/2010,21.7,0.269
2010,Chicago,4/17/2010,13.3,0
2010,Chicago,4/18/2010,10.8,0
2010,Chicago,4/19/2010,12.6,0
2010,Chicago,4/20/2010,16.1,0
2010,Chicago,4/21/2010,15.9,0
2010,Chicago,4/22/2010,14.7,0.372
2010,Chicago,4/23/2010,16.8,0.348
2010,Chicago,4/24/2010,15.8,2.854
2010,Chicago,4/25/2010,14.1,4.226
2010,Chicago,4/26/2010,16.3,0
2010,Chicago,4/27/2010,10.2,0
2010,Chicago,4/28/2010,16.8,0
2010,Chicago,4/29/2010,25.8,0
2010,Chicago,4/30/2010,27,6.763
2010,Chicago,5/1/2010,21.3,0.604
2010,Chicago,5/2/2010,19.6,8.184
2010,Chicago,5/3/2010,21.9,0
2010,Chicago,5/4/2010,26.1,0
2010,Chicago,5/5/2010,22.6,0
2010,Chicago,5/6/2010,15.4,0
2010,Chicago,5/7/2010,14.1,10.323
2010,Chicago,5/8/2010,9.7,0.864
2010,Chicago,5/9/2010,13.1,0
2010,Chicago,5/10/2010,14,0
2010,Chicago,5/11/2010,12.7,11.295
2010,Chicago,5/12/2010,11.1,0.495
2010,Chicago,5/13/2010,24.5,20.024
2010,Chicago,5/14/2010,18.8,0
2010,Chicago,5/15/2010,16.4,0
2010,Chicago,5/16/2010,18,0
2010,Chicago,5/17/2010,14.5,1.006
2010,Chicago,5/18/2010,16.6,0
2010,Chicago,5/19/2010,23,0
2010,Chicago,5/20/2010,22,0.49
2010,Chicago,5/21/2010,21.2,4.812
2010,Chicago,5/22/2010,22.2,0.101
2010,Chicago,5/23/2010,31.8,0
2010,Chicago,5/24/2010,32,0
2010,Chicago,5/25/2010,30.1,0
2010,Chicago,5/26/2010,29.1,0
2010,Chicago,5/27/2010,24.3,0
2010,Chicago,5/28/2010,24.4,0
2010,Chicago,5/29/2010,28.4,0
2010,Chicago,5/30/2010,32.1,0
2010,Chicago,5/31/2010,27.5,15.17
2010,Chicago,6/1/2010,28.9,0
2010,Chicago,6/2/2010,24.3,15.909
2010,Chicago,6/3/2010,20.9,0
2010,Chicago,6/4/2010,27.7,0
2010,Chicago,6/5/2010,25.8,4.923
2010,Chicago,6/6/2010,22.9,0.882
2010,Chicago,6/7/2010,20.2,0
2010,Chicago,6/8/2010,18.6,4.969
2010,Chicago,6/9/2010,28,0
2010,Chicago,6/10/2010,23,0
2010,Chicago,6/11/2010,31.1,3.549
2010,Chicago,6/12/2010,25.3,2.545
2010,Chicago,6/13/2010,21.6,2.962
2010,Chicago,6/14/2010,21.3,0.101
2010,Chicago,6/15/2010,26,6.815
2010,Chicago,6/16/2010,27.5,2.547
2010,Chicago,6/17/2010,28,0
2010,Chicago,6/18/2010,32,8.171
2010,Chicago,6/19/2010,29.2,1.976
2010,Chicago,6/20/2010,26,0
2010,Chicago,6/21/2010,28.7,1.237
2010,Chicago,6/22/2010,29.8,5.606
2010,Chicago,6/23/2010,30.2,13.459
2010,Chicago,6/24/2010,27.3,0
2010,Chicago,6/25/2010,28.4,0
2010,Chicago,6/26/2010,30.3,8.973
2010,Chicago,6/27/2010,29.8,2.653
2010,Chicago,6/28/2010,27.6,6.923
2010,Chicago,6/29/2010,22.2,0
2010,Chicago,6/30/2010,23,0
2010,Chicago,7/1/2010,24,0
2010,Chicago,7/2/2010,28.1,0
2010,Chicago,7/3/2010,30.3,0
2010,Chicago,7/4/2010,32.7,0.268
2010,Chicago,7/5/2010,32.2,0
2010,Chicago,7/6/2010,32,1.372
2010,Chicago,7/7/2010,33.8,0.841
2010,Chicago,7/8/2010,30.6,3.229
2010,Chicago,7/9/2010,29.7,0
2010,Chicago,7/10/2010,31.6,0.101
2010,Chicago,7/11/2010,28.9,10.853
2010,Chicago,7/12/2010,28.2,0.101
2010,Chicago,7/13/2010,28.3,0.661
2010,Chicago,7/14/2010,32.7,0
2010,Chicago,7/15/2010,32.4,0.032
2010,Chicago,7/16/2010,32.2,0
2010,Chicago,7/17/2010,32.2,0
2010,Chicago,7/18/2010,32.3,2.512
2010,Chicago,7/19/2010,28.5,0.032
2010,Chicago,7/20/2010,29.3,0
2010,Chicago,7/21/2010,31.3,0
2010,Chicago,7/22/2010,31.9,0.2
2010,Chicago,7/23/2010,34.3,14.929
2010,Chicago,7/24/2010,30.5,91.428
2010,Chicago,7/25/2010,26.8,5.731
2010,Chicago,7/26/2010,28.6,0
2010,Chicago,7/27/2010,31,0
2010,Chicago,7/28/2010,31.4,0
2010,Chicago,7/29/2010,27,0
2010,Chicago,7/30/2010,26.2,0
2010,Chicago,7/31/2010,25.2,11.939
2010,Chicago,8/1/2010,28.8,0
2010,Chicago,8/2/2010,28.2,0.503
2010,Chicago,8/3/2010,29.7,16.168
2010,Chicago,8/4/2010,27.2,7.912
2010,Chicago,8/5/2010,28.4,0
2010,Chicago,8/6/2010,27.7,0
2010,Chicago,8/7/2010,28.1,0
2010,Chicago,8/8/2010,30.8,0.66
2010,Chicago,8/9/2010,31,2.134
2010,Chicago,8/10/2010,30.8,0
2010,Chicago,8/11/2010,31.8,0
2010,Chicago,8/12/2010,32,0
2010,Chicago,8/13/2010,33.2,6.554
2010,Chicago,8/14/2010,30.9,0
2010,Chicago,8/15/2010,28.6,0
2010,Chicago,8/16/2010,26.8,0
2010,Chicago,8/17/2010,25.2,0
2010,Chicago,8/18/2010,27.9,0.593
2010,Chicago,8/19/2010,30.8,0
2010,Chicago,8/20/2010,33,0.782
2010,Chicago,8/21/2010,29.7,6.957
2010,Chicago,8/22/2010,26.7,0
2010,Chicago,8/23/2010,25.7,0
2010,Chicago,8/24/2010,27.2,0.036
2010,Chicago,8/25/2010,25.8,0
2010,Chicago,8/26/2010,25.1,0
2010,Chicago,8/27/2010,28.7,0
2010,Chicago,8/28/2010,30.9,0
2010,Chicago,8/29/2010,33.5,0
2010,Chicago,8/30/2010,31,0
2010,Chicago,8/31/2010,33.2,0
2010,Chicago,9/1/2010,27.2,2.047
2010,Chicago,9/2/2010,28,13.012
2010,Chicago,9/3/2010,21.1,3.48
2010,Chicago,9/4/2010,19.3,0
2010,Chicago,9/5/2010,24,0
2010,Chicago,9/6/2010,28,0
2010,Chicago,9/7/2010,25.5,0
2010,Chicago,9/8/2010,21.6,0
2010,Chicago,9/9/2010,19.2,0
2010,Chicago,9/10/2010,21.8,0
2010,Chicago,9/11/2010,23.9,2.867
2010,Chicago,9/12/2010,28.1,0
2010,Chicago,9/13/2010,26.9,0
2010,Chicago,9/14/2010,24,0
2010,Chicago,9/15/2010,23.5,0
2010,Chicago,9/16/2010,21.8,1.529
2010,Chicago,9/17/2010,23.1,0
2010,Chicago,9/18/2010,18.7,3.375
2010,Chicago,9/19/2010,19,0.101
